sku,brand,function,price,descriptive_tokens
13891343,Nike,Jacket,54.95,
13891343,Nike,Jacket,54.95,
13891343,Nike,Jacket,54.95,
1009420832,Nike,Shirt,59.95,
1009420832,Nike,Shirt,59.95,
1009420832,Nike,Shirt,59.95,
1009420832,Nike,Shirt,59.95,
1009420832,Nike,Shirt,59.95,
13726842,Nike Sportswear,Jacket,41.95,
13726842,Nike Sportswear,Jacket,41.95,
13726842,Nike Sportswear,Jacket,41.95,
13726842,Nike Sportswear,Jacket,41.95,
12907521,Jordan,Gymsack,18.47,
13891188,Nike,Kit,54.95,
13891188,Nike,Kit,54.95,
13891188,Nike,Kit,54.95,
13891188,Nike,Kit,54.95,
13891188,Nike,Kit,54.95,
13891192,Nike,Kit,54.95,
13891192,Nike,Kit,54.95,
13891192,Nike,Kit,54.95,
13891192,Nike,Kit,54.95,
13891192,Nike,Kit,54.95,
13161334,Nike,Kit,31.47,
13161334,Nike,Kit,31.47,
13161334,Nike,Kit,31.47,
13161334,Nike,Kit,31.47,
13161334,Nike,Kit,31.47,
13161334,Nike,Kit,31.47,
13760165,Jordan,Set,24.95,
13760165,Jordan,Set,24.95,
13760165,Jordan,Set,24.95,
13922200,Nike,Jacket,54.95,
13922200,Nike,Jacket,54.95,
13922200,Nike,Jacket,54.95,
13922200,Nike,Jacket,54.95,
13429569,Nike,Jersey,63.95,
13429569,Nike,Jersey,63.95,
13429569,Nike,Jersey,63.95,
13429569,Nike,Jersey,63.95,
13161340,NIKEiD,Kit,31.47,
13161340,NIKEiD,Kit,31.47,
13161340,NIKEiD,Kit,31.47,
13161340,NIKEiD,Kit,31.47,
13161340,NIKEiD,Kit,31.47,
13161340,NIKEiD,Kit,31.47,
13998424,Nike,Tracksuit,104.95,
13998424,Nike,Tracksuit,104.95,
13998424,Nike,Tracksuit,104.95,
13998424,Nike,Tracksuit,104.95,
13890911,NIKEiD,Kit,54.95,
13890911,NIKEiD,Kit,54.95,
13890911,NIKEiD,Kit,54.95,
13890911,NIKEiD,Kit,54.95,
13890911,NIKEiD,Kit,54.95,
13846949,Nike,Tracksuit,104.95,
13846949,Nike,Tracksuit,104.95,
13846949,Nike,Tracksuit,104.95,
13846949,Nike,Tracksuit,104.95,
13161412,Nike,Kit,34.97,
13161412,Nike,Kit,34.97,
13161412,Nike,Kit,34.97,
13161412,Nike,Kit,34.97,
13161412,Nike,Kit,34.97,
13161412,Nike,Kit,34.97,
14041353,Nike Sportswear,Dress,44.95,
14041353,Nike Sportswear,Dress,44.95,
14041353,Nike Sportswear,Dress,44.95,
14041353,Nike Sportswear,Dress,44.95,
14041353,Nike Sportswear,Dress,44.95,
14041349,Nike Sportswear,Dress,44.95,
14041349,Nike Sportswear,Dress,44.95,
14041349,Nike Sportswear,Dress,44.95,
14041349,Nike Sportswear,Dress,44.95,
14041349,Nike Sportswear,Dress,44.95,
13890886,Nike,Shirt,59.95,
13890886,Nike,Shirt,59.95,
13890886,Nike,Shirt,59.95,
13890886,Nike,Shirt,59.95,
13890886,Nike,Shirt,59.95,
13921975,Nike,Jacket,64.95,
13921975,Nike,Jacket,64.95,
13921975,Nike,Jacket,64.95,
13921975,Nike,Jacket,64.95,
13921975,Nike,Jacket,64.95,
12944385,Nike Sportswear,Dress,26.95,
12944385,Nike Sportswear,Dress,26.95,
12944385,Nike Sportswear,Dress,26.95,
12944385,Nike Sportswear,Dress,26.95,
12944385,Nike Sportswear,Dress,26.95,
13090009,Nike,Jacket,55.97,
13090009,Nike,Jacket,55.97,
13090009,Nike,Jacket,55.97,
13090009,Nike,Jacket,55.97,
13090009,Nike,Jacket,55.97,
13809663,Nike Sportswear,Jacket,43.97,
13809663,Nike Sportswear,Jacket,43.97,
13809663,Nike Sportswear,Jacket,43.97,
13809663,Nike Sportswear,Jacket,43.97,
13809663,Nike Sportswear,Jacket,43.97,
13922343,Nike,Shirt,59.95,
13922343,Nike,Shirt,59.95,
13922343,Nike,Shirt,59.95,
13922343,Nike,Shirt,59.95,
13922343,Nike,Shirt,59.95,
13937944,Jordan,Dress,37.95,
13937944,Jordan,Dress,37.95,
13937944,Jordan,Dress,37.95,
13937944,Jordan,Dress,37.95,
13919997,Nike,Dress,39.97,
13919997,Nike,Dress,39.97,
13919997,Nike,Dress,39.97,
13919997,Nike,Dress,39.97,
13919997,Nike,Dress,39.97,
13919992,Nike,Dress,39.97,
13919992,Nike,Dress,39.97,
13919992,Nike,Dress,39.97,
13919992,Nike,Dress,39.97,
13919992,Nike,Dress,39.97,
13919996,Nike,Dress,39.97,
13919996,Nike,Dress,39.97,
13919996,Nike,Dress,39.97,
13919996,Nike,Dress,39.97,
13919996,Nike,Dress,39.97,
14041148,Nike Sportswear,Skirt,38.97,
14041148,Nike Sportswear,Skirt,38.97,
14041148,Nike Sportswear,Skirt,38.97,
14041148,Nike Sportswear,Skirt,38.97,
14041148,Nike Sportswear,Skirt,38.97,
13920105,Nike,Jacket,59.47,
13920105,Nike,Jacket,59.47,
13920105,Nike,Jacket,59.47,
13920105,Nike,Jacket,59.47,
13920105,Nike,Jacket,59.47,
14240442,Nike Sportswear,Dress,19.97,
14240442,Nike Sportswear,Dress,19.97,
14240442,Nike Sportswear,Dress,19.97,
13809072,Nike Sportswear,Jacket,43.97,
13809072,Nike Sportswear,Jacket,43.97,
13809072,Nike Sportswear,Jacket,43.97,
13809072,Nike Sportswear,Jacket,43.97,
13809072,Nike Sportswear,Jacket,43.97,
12903742,Nike,Jacket,45.47,
12903742,Nike,Jacket,45.47,
12903742,Nike,Jacket,45.47,
12903742,Nike,Jacket,45.47,
12903742,Nike,Jacket,45.47,
12903743,Nike,Jacket,45.47,
12903743,Nike,Jacket,45.47,
12903743,Nike,Jacket,45.47,
12903743,Nike,Jacket,45.47,
12903743,Nike,Jacket,45.47,
13920184,Nike,Bra,22.95,
13920184,Nike,Bra,22.95,
13920184,Nike,Bra,22.95,
13920184,Nike,Bra,22.95,
13920184,Nike,Bra,22.95,
13808925,Nike,Bra,22.95,
13808925,Nike,Bra,22.95,
13808925,Nike,Bra,22.95,
13808925,Nike,Bra,22.95,
13808925,Nike,Bra,22.95,
13358990,Nike,Bra,22.95,
13358990,Nike,Bra,22.95,
13358990,Nike,Bra,22.95,
13358990,Nike,Bra,22.95,
13358990,Nike,Bra,22.95,
14078719,Nike,Bra,22.95,
14078719,Nike,Bra,22.95,
14078719,Nike,Bra,22.95,
